,date,Latitude,Longitude,Elevation (m),Type,magAFV-MEAN,magAFV-MAX,magAFV-DELTA,magAFV-SD,sB-MEAN,sB-MAX,sB-DELTA,sB-SD,PT-MEAN,PT-MAX,PT-DELTA,PT-SD,PD-MEAN,PD-MAX,PD-DELTA,PD-SD,PFS-MEAN,PFS-MAX,PFS-DELTA,PFS-SD,FP-MEAN,FP-MAX,FP-DELTA,FP-SD,EF-MEAN,EF-MAX,EF-DELTA,EF-SD,Kp-MEAN,Kp-MAX,Kp-DELTA,Kp-SD,DST-MEAN,DST-MAX,DST-DELTA,DST-SD
0,1963-03-17,9.979,-83.852,3432,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1963-03-18,-8.343,115.508,2997,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1963-05-05,-8.108,112.922,3657,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1963-05-16,-8.343,115.508,2997,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1963-05-21,-39.42,-71.93,2847,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1963-09-05,-8.242,115.375,1717,Caldera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1963-09-28,14.473,-90.88,3763,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1963-12-10,9.979,-83.852,3432,Stratovolcano,3.642857142857143,6.6,3.8999999999999995,0.8980932181969912,1.7000000000000002,5.5,5.0,1.2664912159190052,,,,,5.340909090909091,6.5,2.0,0.5852627337636214,429.90909090909093,440.0,90.0,19.861206722340224,1.9759090909090908,2.32,0.7799999999999998,0.263541071000131,-0.21142857142857144,1.13,2.41,0.8494191292541374,16.44,30.0,30.0,11.26232658024087,-11.2,-5.0,14.0,4.864839839775474
8,1964-01-01,-8.32,121.708,875,Stratovolcano,2.68,3.5,2.0,0.5334523676687812,1.9800000000000002,7.4,6.800000000000001,1.6827698255300056,,,,,9.3,11.8,3.5,1.2447536964017751,347.1666666666667,370.0,40.0,14.300349646075091,2.233333333333333,2.6,0.75,0.23798170962838103,0.3806666666666667,0.99,1.06,0.30150732439970124,6.4,13.0,13.0,3.968626966596886,-7.0,-4.0,6.0,1.8027756377319946
9,1964-03-03,-39.42,-71.93,2847,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44,10.0,10.0,3.3674916480965473,2.4,5.0,5.0,1.2909944487358058
10,1964-12-13,-7.2,109.879,2565,Complex volcano,,,,,,,,,,,,,,,,,320.85714285714283,345.0,43.0,22.608468704068773,,,,,,,,,4.36,7.0,7.0,2.9983328701129897,16.48,22.0,11.0,3.4292856398964493
11,1965-09-28,14.002,120.993,311,Stratovolcano,6.712,9.1,5.8999999999999995,1.6225802496846395,2.4960000000000004,5.4,4.800000000000001,1.3289971156226537,94711.0,94711.0,0.0,0.0,10.2,10.2,0.0,0.0,414.0,414.0,0.0,0.0,3.5,3.5,0.0,0.0,0.5366666666666666,1.2,1.66,0.8787680771018787,28.8,57.0,57.0,18.282505298782223,-11.6,12.0,73.0,23.27910364826504
12,1965-10-24,12.3,-61.64,-185,Submarine volcano,6.98,12.8,11.100000000000001,3.2385696431192175,3.2239999999999998,9.3,8.200000000000001,2.0573607688816593,117778.53846153847,132877.0,41612.0,16586.25546255787,7.907692307692307,15.8,11.600000000000001,4.6888985093270295,472.0,502.0,103.0,42.54997062278657,3.221538461538462,5.03,2.9200000000000004,1.1622954741505145,0.07538461538461541,1.37,3.92,1.1632971488017394,33.4,40.0,17.0,4.924428900898052,-7.96,1.0,20.0,6.334298172120834
13,1966-01-13,-10.386,165.804,796,Stratovolcano,,,,,,,,,25003.0,26222.0,2206.0,1140.7856941599505,6.614285714285714,7.7,2.3,1.1625096005747957,346.2857142857143,348.0,3.0,1.2535663410560174,1.5842857142857143,1.83,0.53,0.2698676924505255,,,,,4.72,10.0,10.0,3.9319206502675,6.52,15.0,15.0,4.340890845590722
14,1966-04-26,-7.93,112.308,1731,Stratovolcano,,,,,,,,,36378.92307692308,50052.0,29076.0,11042.623174632154,2.3615384615384616,4.9,4.1000000000000005,1.1376426368727437,440.84615384615387,467.0,88.0,27.63707097917021,0.9207692307692307,1.41,1.1099999999999999,0.4217317776830344,,,,,5.76,10.0,10.0,3.3823069050575523,2.2,7.0,9.0,2.345207879911715
15,1966-08-12,3.689,125.447,1318,Stratovolcano,,,,,,,,,147559.33333333334,169944.0,41926.0,14949.492120693152,6.650000000000001,7.8,1.7000000000000002,0.692098258919931,475.5,494.0,39.0,15.293789589241772,3.021666666666667,3.81,1.1600000000000001,0.4861858355265677,,,,,28.24,37.0,27.0,8.16639455328972,-3.8,12.0,30.0,7.863417408056966
16,1966-08-14,-2.764,35.914,2962,Stratovolcano,3.452,6.9,5.6000000000000005,1.3061138286280156,2.028,4.6,3.8,0.9550392662084631,85216.78571428571,111864.0,53724.0,14885.624847630535,3.585714285714286,5.8,2.9,0.9239190297998919,484.42857142857144,523.0,119.0,36.52968084198906,1.6614285714285715,2.62,1.36,0.36174485574689336,0.24857142857142858,0.89,1.58,0.4492362260695222,14.4,30.0,23.0,7.483314773547883,-3.88,5.0,19.0,4.952440475832765
17,1967-07-08,-2.764,35.914,2962,Stratovolcano,3.2941176470588234,4.1,2.1999999999999997,0.5390623667945273,1.2882352941176471,2.6,2.3000000000000003,0.7149146390839053,55818.0,66970.0,26697.0,7540.617531077942,4.7058823529411775,6.0,2.4,0.6959441323081312,431.76,475.0,87.0,29.060683634996156,1.6494117647058824,2.39,1.31,0.37700249648104606,0.33588235294117647,0.74,0.78,0.24705917366921967,22.16,43.0,30.0,11.451637437502114,-22.12,-16.0,19.0,5.629683235612225
18,1967-08-31,-8.108,112.922,3657,Stratovolcano,4.055999999999999,6.2,5.1,1.3269890730522236,1.804,3.5,2.9,0.8885756392489425,78390.88,128018.0,83914.0,19768.52812831547,3.4160000000000004,6.0,3.5,0.7641334961902927,463.48,503.0,91.0,23.94458881111416,1.4736000000000002,2.27,1.32,0.34943859737203237,0.6043999999999999,1.69,2.74,0.706570826834319,23.4,33.0,23.0,7.729812416870153,-7.24,3.0,18.0,5.524792605458899
19,1967-11-04,36.571,137.59,2621,Stratovolcano,8.62,13.2,8.799999999999999,2.4640752153022167,3.648,8.7,7.3999999999999995,1.795856341693288,81873.68,155361.0,114295.0,32910.234122179485,6.42,15.3,12.0,2.6678643143908203,402.68,483.0,144.0,41.53986037530699,2.1468,6.88,5.84,1.2422886138092064,0.5651999999999999,4.25,7.34,1.7354301099919485,34.0,53.0,36.0,12.278029157808675,-24.76,-7.0,33.0,8.85663593019381
20,1967-12-04,-63.001,-60.652,602,Caldera,6.184000000000001,8.4,3.6000000000000005,0.9642268059607829,2.4560000000000004,4.5,4.1,1.1747623873220776,71994.72,111864.0,70966.0,22840.372901801173,3.5959999999999996,4.8,3.4,1.0006164766449397,376.4,420.0,67.0,17.240939649566666,1.0256,1.62,1.2000000000000002,0.32030037985199666,0.7752,2.04,3.06,0.7791187329284286,19.56,30.0,23.0,8.44630096551147,-26.4,-20.0,18.0,5.315072906367324
21,1968-04-21,13.257,123.685,2462,Stratovolcano,3.228,3.8,1.4,0.4296510211788167,0.944,2.1,1.8,0.5132250968142537,60482.88,78408.0,43560.0,11017.755988705987,2.836,3.6,1.2000000000000002,0.336501609703926,376.92,427.0,74.0,25.45080221394472,0.8016,0.96,0.29999999999999993,0.07492663077971677,-0.2836,0.07,0.6300000000000001,0.1731059405874526,3.0,7.0,7.0,1.8708286933869707,3.52,10.0,12.0,3.3555923471125033
22,1968-07-29,10.463,-84.703,1670,Stratovolcano,3.448000000000001,4.4,2.7,0.6892749814116279,2.224,3.9,3.0,0.8328065001347351,,,,,,,,,,,,,,,,,,,,,18.44,30.0,23.0,6.862215385719105,-1.2,5.0,11.0,2.9297326385411577
23,1969-01-07,-7.54,110.446,2910,Stratovolcano,3.1363636363636362,4.5,3.2,1.0102076422792892,1.1227272727272728,3.1,2.6,0.6140667081660771,12600.0,17000.0,11000.0,4037.32584763727,5.3,11.5,8.9,3.113010332994951,285.52,316.0,49.0,17.04924240741115,0.8331999999999999,1.64,1.21,0.4144647150240898,0.15954545454545455,0.5,0.58,0.16146582338443055,2.28,7.0,7.0,2.282542442102666,0.24,7.0,16.0,4.156119985435133
24,1969-01-28,-8.891,121.641,618,Stratovolcano,5.4559999999999995,7.1,2.8,0.6151422599691879,2.1319999999999997,3.2,2.9000000000000004,0.6774461848245463,100437.5,172000.0,117000.0,39398.76267092661,1.1159999999999999,1.9,1.2999999999999998,0.3484250278036869,530.12,570.0,112.0,27.881176445767135,0.6376,1.17,0.8499999999999999,0.24121705301795443,0.8224000000000001,1.94,2.79,0.7848209986997035,26.04,37.0,20.0,5.616048432839588,-26.44,-16.0,22.0,6.090155991434045
25,1969-03-21,19.077,122.202,228,Compound volcano,10.634782608695652,15.0,11.9,2.9513646605737818,3.991304347826087,12.7,11.799999999999999,2.834192693051034,90519.96,196000.0,150000.0,37862.73511039581,6.132,13.7,11.2,3.5196732802917943,462.32,516.0,112.0,34.247530324584474,2.7496000000000005,6.63,5.63,1.8446419706815735,0.13043478260869565,4.02,8.829999999999998,2.367723260589205,33.72,53.0,36.0,10.257192598367254,-42.2,-25.0,34.0,9.433981132056603
26,1969-08-26,38.729,140.734,470,Caldera,1.912,3.9,3.2,0.8496666012815458,1.3439999999999999,3.3,2.6999999999999997,0.6423135267660698,55178.34782608696,96800.0,72600.0,16839.535489730155,2.6782608695652175,5.3,3.5,0.9214398425286424,423.39130434782606,456.0,80.0,26.013526429768284,0.9765217391304348,2.19,1.54,0.4206013951437131,-0.32956521739130434,0.82,1.64,0.3791914635219326,7.36,27.0,27.0,8.275868534480233,4.96,11.0,11.0,2.879236009777594
27,1970-03-02,40.827,14.139,458,Caldera,,,,,,,,,115640.0,197000.0,160000.0,39168.312022177655,5.18,10.1,8.6,2.3205602771744585,448.16,532.0,197.0,49.68708752449339,1.98,4.0,3.23,0.8217106141053147,,,,,33.96,47.0,34.0,11.215614116043758,-34.64,-16.0,44.0,12.14454610102823
28,1970-05-05,63.983,-19.666,1490,Stratovolcano,4.478260869565217,5.3,2.1999999999999997,0.5976898874675961,3.130434782608696,4.1,2.8,0.7112311877101153,,,,,,,,,501.375,555.0,120.0,42.879482272993926,,,,,-1.15,0.35,2.5700000000000003,0.8517377195223556,17.08,20.0,10.0,3.1874754901018454,-6.08,4.0,19.0,5.203524446629099
29,1971-08-12,-45.9,-72.97,1905,Stratovolcano,4.215789473684211,6.1,2.8999999999999995,0.8610479131685586,3.3684210526315788,4.5,2.7,0.6847973192274138,,,,,,,,,,,,,,,,,,,,,27.68,40.0,23.0,8.778382538941898,-17.64,-7.0,25.0,6.20403094769844
30,1971-09-06,-10.386,165.804,796,Stratovolcano,6.451999999999999,8.2,3.999999999999999,0.9983820244108297,3.252,5.5,3.8,1.2135073135337915,,,,,,,,,,,,,,,,,,,,,28.36,33.0,23.0,4.715930449020639,-22.44,-4.0,36.0,9.916652661054535
31,1971-09-14,14.473,-90.88,3763,Stratovolcano,3.5999999999999996,5.0,2.8,0.9407443861113389,3.855555555555555,5.7,3.6,1.1402972322064884,,,,,,,,,,,,,,,,,,,,,29.36,47.0,30.0,10.746627377926528,-8.8,17.0,49.0,14.038637160826308
32,1971-10-28,28.57,-17.83,2426,Stratovolcano,3.304761904761905,5.5,4.2,1.1762126467931684,1.7666666666666664,3.2,2.5,0.6703233050799691,,,,,,,,,,,,,,,,,,,,,8.28,17.0,14.0,3.963584236521283,-3.36,7.0,20.0,5.130626992223595
33,1971-10-29,-39.42,-71.93,2847,Stratovolcano,11.657894736842104,21.4,20.2,7.040858201279608,6.257894736842105,11.7,10.899999999999999,3.4517814707245624,,,,,,,,,,,,,,,,,,,,,28.88,50.0,47.0,13.678815738213597,1.36,13.0,35.0,9.595485049403877
34,1971-12-27,36.618,138.528,2165,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.08,37.0,27.0,9.600000000000001,-31.4,-17.0,24.0,6.557438524302
35,1972-06-09,-21.244,55.708,2632,Shield volcano,5.574999999999999,6.8,2.5,0.957302758498361,2.15,3.4,2.2,0.7329003050503234,,,,,,,,,,,,,,,,,,,,,15.76,23.0,13.0,3.6999999999999997,-5.8,2.0,17.0,5.0579969684978385
36,1972-10-02,35.233,139.021,1438,Complex volcano,6.631578947368422,7.6,3.1999999999999993,0.8347006326814603,2.8526315789473684,5.3,4.6,1.2061732052941612,,,,,,,,,,,,,,,,,,,,,16.4,30.0,23.0,8.215838362577491,-17.72,-10.0,20.0,6.127261487266015
37,1972-10-09,-5.519,148.115,75,Stratovolcano,5.0280000000000005,11.7,9.5,2.2547209731287516,1.86,4.9,4.4,1.0680979980008076,36508.76470588235,90337.0,74089.0,25265.3675970918,14.923529411764704,19.5,8.7,2.7632701215599393,307.47058823529414,337.0,52.0,15.82765636101419,2.5952941176470588,3.03,0.75,0.2566884699168143,-0.7941176470588235,0.27,2.44,0.675324540716623,7.92,30.0,30.0,11.02995920210043,-6.16,5.0,23.0,6.5554048946905885
38,1973-01-27,63.416,-20.266,283,Submarine volcano,6.776,9.5,4.7,1.1609191760554796,3.3480000000000003,5.3,4.3999999999999995,1.1128491961327613,153593.41666666666,186072.0,63009.0,20864.54697875772,7.841666666666666,9.1,3.0,0.9903703011163721,476.9166666666667,495.0,30.0,9.356167954236327,3.5849999999999995,4.23,1.5800000000000005,0.5329079743172448,-0.14750000000000002,1.74,3.4,1.18204080071098,33.6,43.0,20.0,6.689544080129825,-14.68,-4.0,29.0,6.725077446889862
