WORD	FORMAT	FILL_VALUE	MEANING	UNITS/COMMENTS                       
0	N/A	0	Date	Full date in YYYY/DD/MM HR:00:00 format
1	I4	999	Year	"1963, 1964, etc."
2	I4	999	Decimal Day	January 1 = Day 1
3	I3	99	Hour	"0, 1,...,23"
4	I5	9999	Bartels rotation number	Sum of average rotations of the Sun since 8 February 1932
5	I3	99	ID for IMF spacecraft	See table
6	I3	99	ID for SW plasma spacecraft	See table
7	I4	999	# of points in the IMF averages	No. of fine scale points are counts of (1) hourly values contributing to daily averages or (2) daily values contributing to 27-day averages.
8	I4	999	# of points in the plasma averages	N/A
9	F6.1	999.9	Field Magnitude Average |B|	"1/N SUM |B|, nT"
10	F6.1	999.9	Magnitude of Average Field Vector	sqrt(Bx^2+By^2+Bz^2) 
11	F6.1	999.9	Lat.Angle of Aver. Field Vector	Degrees (GSE coords) 
12	F6.1	999.9	Long.Angle of Aver.Field Vector	Degrees (GSE coords) 
13	F6.1	999.9	"Bx GSE, GSM"	nT 
14	F6.1	999.9	By GSE	nT 
15	F6.1	999.9	Bz GSE	nT 
16	F6.1	999.9	By GSM	nT
17	F6 1	999.9	Bz GSM	nT
18	F6.1	999.9	sigma|B|	"RMS Standard Deviation in average magnitude (word 10), nT"
19	F6.1	999.9	sigma B	"RMS Standard Deviation in field vector, nT (**)"
20	F6.1	999.9	sigma Bx	"RMS Standard Deviation in GSE X-component average, nT "
21	F6.1	999.9	sigma By	"RMS Standard Deviation in GSE Y-component average, nT "
22	F6.1	999.9	sigma Bz	"RMS Standard Deviation in GSE Z-component average, nT "
23	F9.0	9999999	Proton temperature	"Degrees, K"
24	F6.1	999.9	Proton Density	N/cm^3 
25	F6.0	9999	Plasma (Flow) speed	km/s
26	F6.1	999.9	Plasma Flow Long. Angle	"Degrees, quasi-GSE*"
27	F6.1	999.9	Plasma  Flow Lat. Angle	"Degrees, GSE* "
28	F6.3	9.999	Na/Np	Alpha/Proton ratio 
29	F9.0	9999999	sigma T	"Degrees, K"
30	F6.1	999.9	sigma N	N/cm^3
31	F6.0	9999	sigma V	km/s
32	F6.1	999.9	sigma phi V	Degrees
33	F6.1	999.9	sigma theta V	Degrees
34	F6.3	9.999	sigma-Na/Np	N/A
35	F6.2	99.99	Flow Pressure	P (nPa) = (1.67/10**6) * Np*V**2 * (1+ 4*Na/Np) for hours with non-fill Na/Np ratios and P (nPa) = (2.0/10**6) * Np*V**2 for hours with fill values for Na/Np
36	F7.2	999.99	Electric field	[-V(km/s) * Bz (nT; GSM)] *    10**-3. (mV/m)
37	F7.2	999.99	Plasma beta	Beta = [(T*4.16/10**5) + 5.34] * Np / B**2   --Ratio between plasma pressure and magnetic pressure
38	F6.1	999.9	Alfven mach number	Ma = (V * Np**0.5) / 20 * B   --Ratio between 'Alfven' magnetic field waves and speed of sound in heliosphere
39	F5.1	99.9	Magnetosonic mach number	"= V/Magnetosonic_speed, Magnetosonic speed = [(sound speed)**2 + (Alfv speed)**2]**0.5, The Alfven speed = 20. * B / N**0.5, The sound speed = 0.12 * [T + 1.28*10**5]**0.5"
40	F7.4	9.9999	Proton QI	Proton Quasy-Invariant   (QI)=(B^2/8*pi)/(Den*V^2/2)          QI == SW (magnetic energy density)/(kinetic energy density)
41	I3	99	Kp	"Planetary Geomagnetic Activity Index (e.g. 3+ = 33, 6- = 57, 4 = 40, etc.)"
42	I4	999	R	Sunspot number (new version 2)
43	I6	99999	DST Index	"nT, from Kyoto    --Measure of equatorial ring current intensity"
44	I4	999	ap-index	nT    --Another Index for Planetary Geomagnetic Activity
45	F6.1	999.9	f10.7_index	( sfu = 10-22W.m-2.Hz-1)
46	I5	9999	AE-index	"nT, from Kyoto     --Index for Auroral Geomagnetic Activity"
47	I6	99999	AL-index	"nT, from Kyoto                  --Lower boundary of geomagnetic activity recorded by magnetometers"
48	I6	99999	AU-index	"nT, from Kyoto           --Upper boundary of geomagnetic activity recorded by magnetometers"
49	F6.1	999.9	PC(N) index	N/A         --Polar Geomagnetic Activity Index
50	F9.6	0.999999	Lyman-alpha	"Daily Solar Lyman-alpha, W/m^2    "
51	F10.2	999999.99	Proton flux	number/cmsq sec sr >1 MeV
52	F9.2	99999.99	Proton flux	number/cmsq sec sr >2 MeV
53	F9.2	99999.99	Proton flux	number/cmsq sec sr >4 MeV
54	F9.2	99999.99	Proton flux	number/cmsq sec sr >10 MeV
55	F9.2	99999.99	Proton flux	number/cmsq sec sr >30 MeV
56	F9.2	99999.99	Proton flux	number/cmsq sec sr >60 MeV
57	I3	99	M'SPH Flux Flag(***)	"(-1,0,1,2,3,4,5,6)       --Magnetosphere contribution to proton flux"
