"Search Parameters"	"Year"	"Mo"	"Dy"	"Tsu"	"Eq"	"Name"	"Location"	"Country"	"Latitude"	"Longitude"	"Elevation (m)"	"Type"											
	1963	3	17			"Irazu"	"Costa Rica"	"Costa Rica"	9.979	-83.852	3432	"Stratovolcano"
	1963	3	18	1942		"Agung"	"Lesser Sunda Is"	"Indonesia"	-8.343	115.508	2997	"Stratovolcano"
	1963	5	5			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"
	1963	5	16		4292	"Agung"	"Lesser Sunda Is"	"Indonesia"	-8.343	115.508	2997	"Stratovolcano"
	1963	5	21			"Villarrica"	"Chile-C"	"Chile"	-39.42	-71.93	2847	"Stratovolcano"
	1963	9	5			"Batur"	"Lesser Sunda Is"	"Indonesia"	-8.242	115.375	1717	"Caldera"
	1963	9	28			"Fuego"	"Guatemala"	"Guatemala"	14.473	-90.88	3763	"Stratovolcano"
	1963	12	10			"Irazu"	"Costa Rica"	"Costa Rica"	9.979	-83.852	3432	"Stratovolcano"
	1964	1	1			"Paluweh"	"Lesser Sunda Is"	"Indonesia"	-8.32	121.708	875	"Stratovolcano"
	1964	3	3			"Villarrica"	"Chile-C"	"Chile"	-39.42	-71.93	2847	"Stratovolcano"
	1964	12	13			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"
	1965	9	28	1977		"Taal"	"Luzon-Philippines"	"Philippines"	14.002	120.993	311	"Stratovolcano"
	1965	10	24	5695		"Kick 'em Jenny"	"W Indies"	"Netherlands"	12.3	-61.64	-185	"Submarine volcano"
	1966	1	13	5478		"Tinakula"	"Santa Cruz Is-SW Pac"	"Solomon Is."	-10.386	165.804	796	"Stratovolcano"
	1966	4	26			"Kelut"	"Java"	"Indonesia"	-7.93	112.308	1731	"Stratovolcano"
	1966	8	12			"Awu"	"Sangihe Is-Indonesia"	"Indonesia"	3.689	125.447	1318	"Stratovolcano"
	1966	8	14			"Lengai, Ol Doinyo"	"Africa-E"	"Tanzania"	-2.764	35.914	2962	"Stratovolcano"
	1967	7	8			"Lengai, Ol Doinyo"	"Africa-E"	"Tanzania"	-2.764	35.914	2962	"Stratovolcano"
	1967	8	31			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"
	1967	11	4			"Midagahara"	"Honshu-Japan"	"Japan"	36.571	137.59	2621	"Stratovolcano"
	1967	12	4	1992		"Deception Island"	"Antarctica"	"Antarctica"	-63.001	-60.652	602	"Caldera"
	1968	4	21			"Mayon"	"Luzon-Philippines"	"Philippines"	13.257	123.685	2462	"Stratovolcano"
	1968	7	29			"Arenal"	"Costa Rica"	"Costa Rica"	10.463	-84.703	1670	"Stratovolcano"
	1969	1	7			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"
	1969	1	28			"Iya"	"Lesser Sunda Is"	"Indonesia"	-8.891	121.641	618	"Stratovolcano"
	1969	3	21	2872		"Didicas"	"Luzon-N of"	"Philippines"	19.077	122.202	228	"Compound volcano"
	1969	8	26			"Naruko"	"Honshu-Japan"	"Japan"	38.729	140.734	470	"Caldera"
	1970	3	2			"Campi Flegrei"	"Italy"	"Italy"	40.827	14.139	458	"Caldera"
	1970	5	5			"Hekla"	"Iceland-S"	"Iceland"	63.983	-19.666	1490	"Stratovolcano"
